"Link","Name","Pos","Height RAS","Weight RAS","Arm RAS","Hand RAS","Forty RAS","Twenty RAS","Ten RAS","Bench RAS","Vertical RAS","Broad RAS","Shuttle RAS","Cone RAS","RAS"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=24976&ovl=Colorado+State"">Link</a>","Mohamed Kamara","DE","1.10","2.38",,,"9.80","9.54","9.66","6.59","8.02","9.20","5.38","5.63","7.99"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=24977&ovl=Troy"">Link</a>","Richard Jibunor","DE","2.05","0.36",,,"8.79","8.01","7.71","7.94","8.40","9.37","8.04","3.39","7.39"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=24978&ovl=Utah"">Link</a>","Jonah Elliss","DE","2.32","2.38",,,,,,,"9.66","8.42","9.70","10.00","8.59"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=24979&ovl=Indiana"">Link</a>","Aaron Casey","LB","4.20","4.42",,,"5.58","5.32","5.75","2.42","2.12","6.28","5.04","7.35","4.32"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=24980&ovl=Wyoming"">Link</a>","Easton Gibbs","LB","3.12","5.43",,,"6.04","5.94","7.52","5.58","3.67","1.71","5.78","8.69","5.26"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=24981&ovl=Texas+AM"">Link</a>","Edgerrin Cooper","LB","7.48","4.07",,,"9.71","9.04","9.51",,"7.20","6.84","7.99","5.80","9.13"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=24982&ovl=Wisconsin"">Link</a>","Maema Njongmeta","LB","1.74","3.61",,,"1.90","0.94","1.04","1.72","7.20","5.66","0.91","3.95","1.12"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=24983&ovl=Connecticut"">Link</a>","Jackson Mitchell","LB","5.68","2.31",,,"3.48","3.89","3.98","3.04","6.66","3.83","8.72","3.35","3.65"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=24984&ovl=Florida+State"">Link</a>","Kalen DeLoach","LB","1.39","0.39",,,"9.87","9.53","9.27","7.76","2.61","7.29",,,"6.54"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=24985&ovl=Arizona+State"">Link</a>","Ro Torrence","CB","9.88","9.71",,,"1.69","2.97","1.38","4.50","2.49","3.79","0.39","0.93","2.2"
